Station Id,Name,County,Status
144,Petaluma East,Sonoma,Active
145,Madera,Madera,Inactive
146,Belridge,Kern,Active
147,Otay Lake,San Diego,Active
148,Merced,Merced,Active
149,Oakland Foothills,Alameda,Inactive
150,Miramar,San Diego,Active
151,Ripley,Riverside,Active
152,Camarillo,Ventura,Active
153,Escondido SPV,San Diego,Active
154,Salton Sea North,Riverside,Inactive
155,Bryte (experimental),Yolo,Active
156,Oxnard,Ventura,Inactive
157,Point San Pedro,Marin,Active
158,Bennett Valley,Sonoma,Active
159,Monrovia,Los Angeles,Active
160,San Luis Obispo West,San Luis Obispo,Active
161,Patterson,Stanislaus,Inactive
162,Indio,Riverside,Inactive
163,Atascadero,San Luis Obispo,Active
164,Valley of the Moon,Sonoma,Inactive
165,Sisquoc,Santa Barbara,Active
166,Lodi West,San Joaquin,Inactive
167,Tracy,San Joaquin,Inactive
168,Denair,Stanislaus,Inactive
169,Porterville,Tulare,Active
170,Concord,Contra Costa,Active
171,Union City,Alameda,Active
172,Lost Hills NW,Kern,Inactive
173,Torrey Pines,San Diego,Active
174,Long Beach,Los Angeles,Active
175,Palo Verde II,Imperial,Active
176,La Quinta,Riverside,Inactive
177,Watsonville West,Santa Cruz,Inactive
178,Moraga,Contra Costa,Active
179,Winchester,Riverside,Active
180,Westmorland West,Imperial,Inactive
181,Westmorland North,Imperial,Active
182,Delano,Tulare,Active
183,Owens Lake North,Inyo,Active
184,San Diego II,San Diego,Active
185,UC-Mex,Imperial,Inactive
186,UC-San Luis,Imperial,Inactive
187,Black Point,Marin,Active
188,Madera II,Madera,Inactive
189,Owens Lake South,Inyo,Active
190,Five Points South West,Fresno,Inactive
191,Pleasanton,Alameda,Active
192,Lake Arrowhead,San Bernardino,Active
193,Pacific Grove,Monterey,Active
194,Oakdale,Stanislaus,Active
195,Auburn,Placer,Active
196,Esparto,Yolo,Inactive
197,Palmdale,Los Angeles,Active
198,Santa Paula,Ventura,Active
199,Big Bear Lake,San Bernardino,Active
200,Indio 2,Riverside,Active
201,UC-Andrade,Imperial,Inactive
202,Nipomo,San Luis Obispo,Active
203,Alpaugh,Tulare,Inactive
204,Santa Clarita,Los Angeles,Active
205,Coalinga,Fresno,Active
206,Denair II,Stanislaus,Active
207,Borrego Springs,San Diego,Active
208,La Quinta II,Riverside,Active
209,Watsonville West II,Santa Cruz,Active
210,Carmel,Monterey,Active
211,Gilroy,Santa Clara,Active
212,Hastings Tract East,Solano,Active
213,El Cerrito,Contra Costa,Active
214,Salinas South II,Monterey,Active
215,Chatsworth,Los Angeles,Active
216,Arleta,Los Angeles,Active
217,Moorpark,Ventura,Active
218,Thermal South,Riverside,Active
219,West Hills,Los Angeles,Active
220,Palmdale Central,Los Angeles,Active
221,Cadiz Valley,San Bernardino,Active
222,Gerber South,Tehama,Active
223,North Hollywood,Los Angeles,Active
224,Shasta College,Shasta,Active
225,Scott Valley,Siskiyou,Active
226,Woodland,Yolo,Active
227,Plymouth,Amador,Active
228,Diamond Springs,El Dorado,Active
229,Laguna Seca,Monterey,Active
230,Santa Barbara II,Santa Barbara,Inactive
231,Lompoc,Santa Barbara,Active
232,Santa Maria II,Santa Barbara,Active
233,Joshua Tree,San Bernardino,Active
234,Newberry Springs II,San Bernardino,Inactive
235,Verona,Sutter,Active
236,Macdoel II,Siskiyou,Active
237,Temecula East III,Riverside,Active
238,Moreno Valley,Riverside,Inactive
239,Hemet,Riverside,Active
240,Perris - Menifee,Riverside,Active
241,San Clemente,Orange,Active
242,Staten Island,San Joaquin,Active
243,Ryde,Sacramento,Active
244,Biggs,Butte,Active
245,Coto de Caza,Orange,Active
246,Markleeville,Alpine,Active
247,Jersey Island,Contra Costa,Active
248,Holt,San Joaquin,Active
249,Ripon,San Joaquin,Active
250,Williams,Colusa,Active
251,Highland,San Bernardino,Active
252,Soledad II,Monterey,Active
253,Pescadero,San Mateo,Active
254,Oakland Metro,Alameda,Active
255,Chino,San Bernardino,Inactive
256,Lancaster,Los Angeles,Active
257,Ridgecrest,Kern,Active
258,Lemon Cove,Tulare,Active
259,Ferndale Plain,Humboldt,Active
260,Montague,Siskiyou,Active
261,Gazelle,Siskiyou,Active
262,Linden,San Joaquin,Active
263,Smith River,Del Norte,Active
264,Sierra Valley Center,Plumas,Active
