,County,Latitude,Longitude,Ocean Proximity,Population,Households,Average Income,Average House Value
37,Del Norte,41.74,-124.16,NEAR OCEAN,1532,530,21829,69500
38,Del Norte,41.92,-124.16,NEAR OCEAN,841,283,21336,75000
39,Humboldt,40.59,-124.15,NEAR OCEAN,539,212,20938,79600
40,Humboldt,40.76,-124.15,NEAR OCEAN,1388,512,33750,100600
41,Humboldt,40.78,-124.15,NEAR OCEAN,1740,717,32848,97100
42,Humboldt,40.79,-124.15,NEAR OCEAN,1263,486,30216,86400
43,Humboldt,40.8,-124.15,NEAR OCEAN,765,329,17550,74100
44,Humboldt,40.81,-124.15,NEAR OCEAN,235,83,17500,67500
45,Humboldt,40.88,-124.15,NEAR OCEAN,1165,441,17250,57500
46,Del Norte,41.81,-124.15,NEAR OCEAN,3546,585,22868,103100
47,Humboldt,40.57,-124.14,<1H OCEAN,1314,562,21354,75100
48,Humboldt,40.58,-124.14,<1H OCEAN,891,355,26987,92500
49,Humboldt,40.59,-124.14,NEAR OCEAN,2370,966,18702,71800
50,Humboldt,40.6,-124.14,NEAR OCEAN,521,219,40250,128100
51,Humboldt,40.67,-124.14,NEAR OCEAN,320,109,42054,130600
52,Humboldt,40.72,-124.14,NEAR OCEAN,1375,503,28446,100500
53,Humboldt,40.77,-124.14,NEAR OCEAN,1407,571,29143,99600
54,Humboldt,40.78,-124.14,NEAR OCEAN,982,432,34219,92800
55,Humboldt,40.79,-124.14,NEAR OCEAN,873,291,24896,81000
56,Humboldt,40.8,-124.14,NEAR OCEAN,872,306,25000,72600
57,Humboldt,41.06,-124.14,NEAR OCEAN,421,198,30208,143400
58,Del Norte,41.95,-124.14,NEAR OCEAN,1208,494,22750,122400
59,Humboldt,40.55,-124.13,<1H OCEAN,240,91,32500,94800
60,Humboldt,40.62,-124.13,NEAR OCEAN,910,389,25804,92100
61,Humboldt,40.78,-124.13,NEAR OCEAN,1056,382,21101,86900
62,Humboldt,40.79,-124.13,NEAR OCEAN,1985,773,32333,87900
63,Humboldt,40.8,-124.13,NEAR OCEAN,1259,420,22478,81100
64,Humboldt,40.57,-124.11,<1H OCEAN,573,236,24896,74100
65,Humboldt,40.81,-124.11,NEAR OCEAN,425,175,25536,96100
66,Humboldt,40.93,-124.11,NEAR OCEAN,2246,818,31357,81900
67,Humboldt,40.95,-124.11,NEAR OCEAN,866,342,29600,81700
68,Humboldt,40.47,-124.1,<1H OCEAN,965,265,35345,55000
69,Humboldt,40.5,-124.1,<1H OCEAN,2296,878,19966,64900
70,Humboldt,40.73,-124.1,NEAR OCEAN,334,121,39659,111800
71,Humboldt,40.88,-124.1,NEAR OCEAN,1581,585,20657,81100
72,Humboldt,40.9,-124.1,NEAR OCEAN,1948,775,27321,92600
73,Humboldt,40.95,-124.1,NEAR OCEAN,823,316,18993,78400
74,Humboldt,41.04,-124.1,NEAR OCEAN,890,370,19741,97900
75,Humboldt,40.44,-124.09,<1H OCEAN,1041,401,23947,70500
76,Humboldt,40.55,-124.09,<1H OCEAN,1370,480,27644,97300
77,Humboldt,40.86,-124.09,NEAR OCEAN,794,379,11742,75000
78,Humboldt,40.87,-124.09,NEAR OCEAN,398,211,11576,87500
79,Humboldt,40.88,-124.09,NEAR OCEAN,2825,1180,20612,87333
80,Humboldt,40.92,-124.09,NEAR OCEAN,1153,462,28182,126900
81,Humboldt,40.95,-124.09,NEAR OCEAN,1248,472,25893,99600
82,Humboldt,40.06,-124.08,NEAR OCEAN,393,163,26250,135600
83,Humboldt,40.86,-124.08,NEAR OCEAN,805,502,11157,150000
84,Humboldt,40.87,-124.08,NEAR OCEAN,990,425,11479,101100
85,Humboldt,40.91,-124.08,NEAR OCEAN,1381,628,16667,78800
86,Humboldt,40.94,-124.08,NEAR OCEAN,941,335,23147,70100
87,Humboldt,40.99,-124.08,NEAR OCEAN,1554,578,26847,111300
88,Humboldt,41.36,-124.08,NEAR OCEAN,509,196,20156,62800
89,Humboldt,40.81,-124.07,NEAR OCEAN,1019,387,29911,119700
90,Humboldt,40.87,-124.07,NEAR OCEAN,1576,463,14911,126150
91,Humboldt,40.86,-124.06,NEAR OCEAN,1891,669,32216,98100
92,Humboldt,40.88,-124.06,NEAR OCEAN,1603,438,25667,139500
93,Humboldt,41.13,-124.06,NEAR OCEAN,1384,578,24708,119400
94,Humboldt,40.59,-124.05,<1H OCEAN,937,353,34408,95200
95,Humboldt,40.85,-124.05,NEAR OCEAN,1005,401,35156,143000
96,Humboldt,40.94,-124.05,NEAR OCEAN,516,181,50329,165600
97,Humboldt,40.45,-124.03,<1H OCEAN,443,158,26094,71300
98,Humboldt,40.72,-124.02,<1H OCEAN,1658,598,38095,119900
99,Humboldt,40.8,-124.02,<1H OCEAN,1198,442,39792,133900
100,Humboldt,40.89,-124.01,<1H OCEAN,811,314,24559,75600
101,Humboldt,40.97,-124.01,<1H OCEAN,943,301,35380,102700
103,Humboldt,40.92,-124.0,<1H OCEAN,672,266,29485,98800
104,Humboldt,40.88,-123.98,<1H OCEAN,844,336,26923,84200
105,Humboldt,40.57,-123.96,<1H OCEAN,883,310,23167,92600
106,Del Norte,41.54,-123.92,NEAR OCEAN,1382,499,20202,71100
107,Del Norte,41.68,-123.91,<1H OCEAN,743,314,29688,152700
108,Humboldt,40.93,-123.88,<1H OCEAN,519,220,32891,106300
109,Mendocino,39.39,-123.85,<1H OCEAN,2095,857,31840,140500
110,Mendocino,39.42,-123.85,<1H OCEAN,895,451,17574,150000
111,Humboldt,41.32,-123.85,<1H OCEAN,425,157,10486,36700
112,Mendocino,39.46,-123.84,<1H OCEAN,552,201,25192,110400
113,Mendocino,39.83,-123.84,NEAR OCEAN,515,227,15278,145800
114,Humboldt,40.28,-123.84,<1H OCEAN,1093,438,20962,74000
115,Del Norte,41.88,-123.83,<1H OCEAN,660,258,31300,116700
116,Humboldt,40.12,-123.82,<1H OCEAN,1221,486,20870,82400
117,Humboldt,40.16,-123.82,<1H OCEAN,1184,453,12227,76800
118,Mendocino,39.31,-123.81,NEAR OCEAN,887,432,33654,225000
119,Mendocino,39.34,-123.81,<1H OCEAN,773,325,31563,277000
120,Mendocino,39.44,-123.8,<1H OCEAN,1773,762,19210,94300
121,Mendocino,39.46,-123.8,<1H OCEAN,698,299,29243,131600
122,Mendocino,39.47,-123.8,<1H OCEAN,1202,460,27857,150300
123,Mendocino,39.44,-123.79,<1H OCEAN,3139,1179,31661,111767
124,Mendocino,39.5,-123.79,<1H OCEAN,588,274,23250,157300
125,Humboldt,40.05,-123.78,<1H OCEAN,899,347,21864,101900
126,Humboldt,41.03,-123.76,<1H OCEAN,1058,414,20644,79800
127,Mendocino,39.37,-123.75,<1H OCEAN,830,279,32500,151400
128,Humboldt,40.11,-123.75,<1H OCEAN,900,402,19625,101500
129,Humboldt,40.66,-123.74,<1H OCEAN,983,375,30469,136000
130,Mendocino,39.17,-123.73,NEAR OCEAN,1745,794,23750,158800
131,Mendocino,39.44,-123.73,<1H OCEAN,380,142,27000,165000
132,Humboldt,40.48,-123.73,INLAND,746,251,17153,77100
133,Humboldt,41.09,-123.72,<1H OCEAN,1166,363,18208,50000
134,Mendocino,39.88,-123.71,NEAR OCEAN,656,303,14952,69800
135,Mendocino,39.32,-123.7,<1H OCEAN,711,292,31071,213200
136,Mendocino,38.9,-123.69,NEAR OCEAN,1140,428,21985,95300
137,Humboldt,40.24,-123.68,<1H OCEAN,917,359,17250,54300
138,Humboldt,41.3,-123.66,<1H OCEAN,686,264,18065,62700
139,Mendocino,39.45,-123.64,<1H OCEAN,1908,642,30433,140700
140,Humboldt,41.11,-123.63,<1H OCEAN,1033,327,14911,59200
141,Mendocino,38.8,-123.59,NEAR OCEAN,1742,803,31201,176100
142,Mendocino,39.66,-123.58,<1H OCEAN,887,332,22429,100000
143,Mendocino,39.17,-123.54,<1H OCEAN,1032,369,22946,101000
144,Mendocino,38.93,-123.53,NEAR OCEAN,506,211,25625,165600
145,Trinity,40.88,-123.53,INLAND,918,345,22115,75000
146,Humboldt,41.01,-123.52,INLAND,517,222,21542,83800
147,Mendocino,39.67,-123.5,INLAND,1122,446,21793,71500
148,Sonoma,38.7,-123.49,NEAR OCEAN,594,327,33125,295400
149,Trinity,40.34,-123.48,INLAND,216,80,27083,64500
150,Trinity,40.79,-123.48,INLAND,287,104,19107,79200
151,Mendocino,39.8,-123.47,INLAND,863,346,23571,79200
152,Trinity,40.22,-123.43,INLAND,87,37,36250,67500
153,Trinity,40.07,-123.41,INLAND,141,53,8362,87500
154,Trinity,40.61,-123.41,INLAND,301,126,17875,55000
155,Siskiyou,41.6,-123.41,INLAND,669,273,19650,65400
156,Mendocino,39.46,-123.4,<1H OCEAN,2111,758,32156,104400
157,Mendocino,38.99,-123.39,<1H OCEAN,812,258,34063,109400
158,Mendocino,39.37,-123.38,<1H OCEAN,1899,730,26424,124600
159,Siskiyou,41.8,-123.38,INLAND,1000,390,22976,54400
160,Mendocino,39.43,-123.37,<1H OCEAN,1281,479,35880,96000
161,Mendocino,39.01,-123.36,<1H OCEAN,857,288,27232,115400
162,Mendocino,39.25,-123.36,<1H OCEAN,522,202,25875,144500
163,Mendocino,39.4,-123.36,<1H OCEAN,715,275,15625,71500
164,Mendocino,39.41,-123.36,<1H OCEAN,808,330,29183,76900
165,Mendocino,39.4,-123.35,<1H OCEAN,779,327,18500,71800
166,Mendocino,39.42,-123.35,<1H OCEAN,904,295,21625,77200
167,Trinity,40.99,-123.35,INLAND,47,23,11250,66000
168,Mendocino,39.1,-123.34,<1H OCEAN,3002,992,30652,131100
169,Mendocino,39.39,-123.34,<1H OCEAN,1636,615,23333,84000
170,Mendocino,39.5,-123.34,INLAND,1064,433,18967,96600
171,Mendocino,39.42,-123.32,<1H OCEAN,1133,402,23906,92600
172,Trinity,40.43,-123.32,INLAND,131,57,4999,56700
173,Trinity,40.77,-123.28,INLAND,301,121,16250,79200
174,Siskiyou,41.86,-123.26,INLAND,1117,424,27222,64600
175,Sonoma,38.54,-123.25,NEAR OCEAN,1278,518,33536,157500
176,Sonoma,38.7,-123.24,NEAR OCEAN,569,176,27171,131300
177,Mendocino,39.81,-123.24,INLAND,746,259,17788,57900
178,Mendocino,39.13,-123.23,<1H OCEAN,529,217,38958,144000
179,Mendocino,39.33,-123.23,<1H OCEAN,448,140,39632,147100
180,Mendocino,39.77,-123.23,INLAND,991,377,12281,60300
181,Mendocino,39.15,-123.22,<1H OCEAN,1143,473,34802,118650
182,Mendocino,39.16,-123.22,<1H OCEAN,4094,1397,31448,132100
183,Mendocino,39.28,-123.22,<1H OCEAN,3148,1088,31455,142900
184,Trinity,40.16,-123.22,INLAND,396,150,28472,41300
185,Trinity,40.54,-123.22,INLAND,847,330,19034,49600
186,Mendocino,39.07,-123.21,<1H OCEAN,877,312,37833,159800
187,Mendocino,39.13,-123.21,<1H OCEAN,822,234,40469,127400
188,Mendocino,39.14,-123.21,<1H OCEAN,2037,794,24516,107300
189,Mendocino,39.15,-123.21,<1H OCEAN,1984,854,21035,110900
190,Mendocino,39.18,-123.21,<1H OCEAN,1501,584,26275,142100
191,Mendocino,39.2,-123.21,<1H OCEAN,1560,647,22926,149300
192,Trinity,40.51,-123.21,INLAND,152,61,13750,48800
193,Mendocino,39.13,-123.2,<1H OCEAN,1065,401,13750,84400
194,Mendocino,39.14,-123.2,<1H OCEAN,878,399,18042,109200
195,Mendocino,39.15,-123.2,<1H OCEAN,592,225,20074,96200
196,Mendocino,39.16,-123.2,<1H OCEAN,1195,467,17929,82300
197,Mendocino,39.23,-123.2,<1H OCEAN,494,161,23583,105400
198,Mendocino,39.12,-123.19,<1H OCEAN,196,60,23125,70000
199,Mendocino,39.15,-123.19,<1H OCEAN,1232,488,26012,125600
200,Mendocino,39.21,-123.19,<1H OCEAN,821,285,35917,118800
201,Mendocino,39.23,-123.18,<1H OCEAN,115,54,21250,175000
202,Mendocino,39.26,-123.18,<1H OCEAN,1558,535,37880,134200
203,Trinity,40.58,-123.18,INLAND,695,254,17262,73700
204,Mendocino,39.15,-123.17,<1H OCEAN,816,325,44250,161900
205,Mendocino,39.18,-123.17,<1H OCEAN,1030,308,59585,214900
206,Trinity,40.31,-123.17,INLAND,18,8,5360,14999
207,Mendocino,39.1,-123.16,<1H OCEAN,327,81,27750,120800
208,Mendocino,39.13,-123.16,<1H OCEAN,1048,303,17813,94700
209,Mendocino,38.94,-123.15,<1H OCEAN,1048,358,27171,95800
210,Mendocino,39.31,-123.15,INLAND,424,152,28833,154200
211,Mendocino,39.74,-123.15,INLAND,281,108,29306,70000
212,Trinity,40.85,-123.13,INLAND,675,282,18933,84700
213,Trinity,40.54,-123.12,INLAND,539,201,18696,61500
214,Mendocino,39.32,-123.11,INLAND,1421,430,33431,137500
215,Trinity,40.6,-123.11,INLAND,316,136,11602,65000
216,Sonoma,38.79,-123.1,<1H OCEAN,1643,638,28344,164400
217,Mendocino,38.97,-123.1,<1H OCEAN,697,251,25761,94900
219,Mendocino,39.36,-123.1,INLAND,611,226,17460,105000
220,Sonoma,38.38,-123.08,NEAR OCEAN,923,373,39167,232600
221,Trinity,40.4,-123.08,INLAND,140,49,17969,37500
222,Siskiyou,41.26,-123.08,INLAND,1066,424,16757,63300
223,Sonoma,38.46,-123.07,NEAR OCEAN,280,139,23611,112500
224,Lake,39.12,-123.07,<1H OCEAN,353,145,38333,92600
225,Sonoma,38.49,-123.04,NEAR OCEAN,1387,582,26161,132500
226,Sonoma,38.79,-123.03,<1H OCEAN,1998,673,33750,171900
227,Sonoma,38.36,-123.02,NEAR OCEAN,778,284,38589,268800
228,Sonoma,38.46,-123.02,NEAR OCEAN,524,259,20556,120000
229,Sonoma,38.54,-123.02,<1H OCEAN,768,322,32315,136900
230,Sonoma,38.81,-123.02,<1H OCEAN,1404,582,31338,139700
231,Sonoma,38.48,-123.01,NEAR OCEAN,354,176,13712,118300
232,Sonoma,38.67,-123.01,<1H OCEAN,394,132,46875,246200
233,Sonoma,38.79,-123.01,<1H OCEAN,1417,535,32546,134100
234,Sonoma,38.8,-123.01,<1H OCEAN,131,74,35156,133300
235,Sonoma,38.33,-123.0,NEAR OCEAN,851,418,56445,364800
236,Sonoma,38.51,-123.0,NEAR OCEAN,759,311,26726,153100
237,Lake,39.02,-122.99,<1H OCEAN,851,273,34500,164100
238,Sonoma,38.44,-122.98,<1H OCEAN,1328,590,31000,162100
239,Sonoma,38.5,-122.97,<1H OCEAN,1112,470,19265,132700
240,Sonoma,38.53,-122.97,<1H OCEAN,1257,571,21165,98700
241,Marin,38.26,-122.96,NEAR OCEAN,308,132,31429,240900
242,Sonoma,38.42,-122.96,<1H OCEAN,940,361,29375,122900
243,Trinity,40.77,-122.96,INLAND,753,270,32891,93100
244,Sonoma,38.73,-122.95,<1H OCEAN,863,287,29792,151300
245,Lake,39.13,-122.95,INLAND,225,72,32500,137500
246,Trinity,40.67,-122.95,INLAND,574,242,20268,94200
247,Trinity,40.71,-122.95,INLAND,987,364,24792,88800
248,Sonoma,38.49,-122.94,<1H OCEAN,777,344,27072,117100
249,Sonoma,38.5,-122.94,<1H OCEAN,807,366,26316,117000
250,Sonoma,38.53,-122.94,<1H OCEAN,505,184,37143,148800
251,Sonoma,38.57,-122.94,<1H OCEAN,728,250,51005,266700
252,Sonoma,38.64,-122.94,<1H OCEAN,2072,636,40781,287800
253,Lake,39.1,-122.94,INLAND,272,105,28906,140600
254,Marin,38.02,-122.93,NEAR OCEAN,628,219,35469,200000
255,Sonoma,38.38,-122.93,<1H OCEAN,1128,414,39336,262500
256,Trinity,40.78,-122.93,INLAND,1685,757,23667,91200
257,Siskiyou,41.48,-122.93,INLAND,1800,660,27230,79600
258,Lake,38.97,-122.92,<1H OCEAN,904,333,29934,134200
259,Lake,39.05,-122.92,INLAND,2196,818,30554,99850
260,Lake,39.08,-122.92,INLAND,146,57,40000,166300
261,Siskiyou,41.7,-122.92,INLAND,1634,619,23571,62000
262,Sonoma,38.43,-122.91,<1H OCEAN,852,308,46705,269800
263,Sonoma,38.46,-122.91,<1H OCEAN,912,329,45000,251900
264,Sonoma,38.49,-122.91,<1H OCEAN,1137,474,36343,146500
265,Lake,39.03,-122.91,INLAND,723,427,13532,95800
266,Lake,39.05,-122.91,INLAND,916,318,34942,94250
267,Lake,39.06,-122.91,INLAND,601,261,19390,100300
268,Lake,39.07,-122.91,INLAND,1000,381,24423,102300
269,Lake,39.17,-122.91,INLAND,142,39,43500,68300
270,Lake,39.18,-122.91,INLAND,86,27,20208,72500
271,Marin,38.28,-122.9,NEAR OCEAN,627,185,23482,163500
272,Lake,39.09,-122.9,INLAND,835,380,19141,143200
273,Lake,39.17,-122.9,INLAND,649,232,25750,73600
274,Lake,39.23,-122.9,INLAND,534,179,39519,98900
275,Siskiyou,41.46,-122.9,INLAND,600,241,17292,61700
276,Sonoma,38.38,-122.89,<1H OCEAN,931,336,57664,267500
277,Sonoma,38.4,-122.89,<1H OCEAN,1445,515,45110,296800
278,Sonoma,38.42,-122.89,<1H OCEAN,1015,381,51512,268300
279,Lake,38.93,-122.89,<1H OCEAN,504,223,27188,105700
280,Lake,39.11,-122.89,INLAND,585,254,22551,71100
281,Lake,39.42,-122.89,INLAND,26,19,4999,73500
282,Trinity,40.76,-122.89,INLAND,270,90,23958,102100
283,Sonoma,38.34,-122.88,<1H OCEAN,1641,585,50574,276200
284,Sonoma,38.46,-122.88,<1H OCEAN,737,305,25687,249200
285,Lake,39.14,-122.88,INLAND,521,196,22188,106300
286,Sonoma,38.39,-122.87,<1H OCEAN,541,180,45147,271400
287,Sonoma,38.43,-122.87,<1H OCEAN,1065,347,40446,172200
288,Sonoma,38.48,-122.87,<1H OCEAN,1832,715,35085,187800
289,Sonoma,38.61,-122.87,<1H OCEAN,1456,500,37361,173700
290,Sonoma,38.62,-122.87,<1H OCEAN,2434,893,26889,168050
291,Sonoma,38.68,-122.87,<1H OCEAN,2053,629,37352,228000
292,Lake,39.13,-122.87,INLAND,810,321,16369,86500
293,Marin,38.1,-122.86,NEAR OCEAN,691,343,43125,261500
294,Sonoma,38.42,-122.86,<1H OCEAN,584,225,36667,244400
295,Sonoma,38.44,-122.86,<1H OCEAN,716,288,34471,209500
296,Sonoma,38.61,-122.86,<1H OCEAN,982,380,34013,183300
297,Sonoma,38.62,-122.86,<1H OCEAN,1231,499,27432,174000
298,Lake,39.05,-122.86,INLAND,647,253,25326,136800
299,Lake,39.08,-122.86,INLAND,1015,448,20417,78800
300,Trinity,40.56,-122.86,INLAND,423,172,17393,81300
301,Sonoma,38.37,-122.85,<1H OCEAN,810,297,44437,305000
302,Sonoma,38.46,-122.85,<1H OCEAN,1309,512,47105,266200
303,Sonoma,38.52,-122.85,<1H OCEAN,2568,762,36583,183200
304,Sonoma,38.62,-122.85,<1H OCEAN,1908,697,45913,244600
305,Sonoma,38.77,-122.85,<1H OCEAN,1027,405,46953,241700
306,Lake,39.0,-122.85,INLAND,753,252,18704,88500
307,Marin,38.07,-122.84,NEAR OCEAN,701,297,38269,270700
308,Sonoma,38.39,-122.84,<1H OCEAN,793,280,44357,216900
309,Sonoma,38.4,-122.84,<1H OCEAN,1446,599,36696,194400
310,Sonoma,38.41,-122.84,<1H OCEAN,1065,404,41250,204600
311,Sonoma,38.42,-122.84,<1H OCEAN,1381,531,29625,237300
312,Lake,38.98,-122.84,INLAND,556,178,17196,75000
313,Sonoma,38.39,-122.83,<1H OCEAN,868,388,24620,260300
314,Sonoma,38.4,-122.83,<1H OCEAN,1019,428,31217,178500
315,Sonoma,38.58,-122.83,<1H OCEAN,2036,890,32452,168800
317,Lake,38.96,-122.83,INLAND,567,276,18692,93800
318,Lake,38.98,-122.83,INLAND,719,296,16164,77800
319,Lake,38.99,-122.83,INLAND,191,54,16833,113900
320,Lake,39.09,-122.83,INLAND,679,371,14679,94700
321,Sonoma,38.33,-122.82,<1H OCEAN,1602,550,39917,244100
322,Sonoma,38.38,-122.82,<1H OCEAN,1227,467,45132,259900
323,Sonoma,38.39,-122.82,<1H OCEAN,1345,465,41836,237300
324,Sonoma,38.4,-122.82,<1H OCEAN,1054,426,38846,215900
325,Sonoma,38.41,-122.82,<1H OCEAN,489,168,27850,169300
326,Sonoma,38.44,-122.82,<1H OCEAN,555,243,46792,304700
327,Sonoma,38.53,-122.82,<1H OCEAN,907,317,32760,172900
328,Sonoma,38.55,-122.82,<1H OCEAN,2967,1000,38616,195100
329,Sonoma,38.61,-122.82,<1H OCEAN,987,364,40294,201700
330,Sonoma,38.64,-122.82,<1H OCEAN,1117,374,38681,188600
331,Marin,38.08,-122.81,NEAR OCEAN,815,337,34609,238800
332,Sonoma,38.36,-122.81,<1H OCEAN,1131,391,52769,293900
333,Sonoma,38.46,-122.81,<1H OCEAN,1634,567,47450,248600
334,Sonoma,38.54,-122.81,<1H OCEAN,919,540,11553,139300
335,Trinity,40.93,-122.81,INLAND,588,195,27083,88900
336,Marin,38.18,-122.8,NEAR OCEAN,957,362,36250,253100
337,Sonoma,38.37,-122.8,<1H OCEAN,909,317,41731,257200
338,Sonoma,38.39,-122.8,<1H OCEAN,1124,420,29453,166700
339,Lake,39.08,-122.8,INLAND,798,342,14676,65000
340,Sonoma,38.42,-122.79,<1H OCEAN,2581,915,50380,185600
341,Sonoma,38.48,-122.79,<1H OCEAN,3468,1405,31662,191000
342,Sonoma,38.5,-122.79,<1H OCEAN,2755,841,37500,248300
343,Sonoma,38.54,-122.79,<1H OCEAN,1887,687,37768,213800
344,Lake,39.02,-122.79,INLAND,265,84,18833,96900
345,Lake,39.08,-122.79,INLAND,321,128,15208,89000
346,Lake,39.09,-122.79,INLAND,685,331,16250,66800
347,Trinity,40.75,-122.79,INLAND,1352,560,21250,71700
348,Sonoma,38.37,-122.78,<1H OCEAN,414,162,37991,175000
349,Sonoma,38.41,-122.78,<1H OCEAN,1011,297,25917,144000
350,Sonoma,38.44,-122.78,<1H OCEAN,1569,629,39766,345300
351,Sonoma,38.52,-122.78,<1H OCEAN,1052,527,24922,192000
352,Sonoma,38.53,-122.78,<1H OCEAN,1889,632,42716,250800
353,Lake,38.97,-122.78,INLAND,2144,792,30466,97300
354,Lake,39.05,-122.78,INLAND,661,269,26181,108900
355,Sonoma,38.29,-122.77,<1H OCEAN,1869,519,32442,268000
356,Sonoma,38.33,-122.77,<1H OCEAN,843,306,45875,290700
357,Sonoma,38.39,-122.77,<1H OCEAN,1293,463,27500,197500
358,Lake,38.92,-122.77,INLAND,293,100,40119,119400
359,Sonoma,38.35,-122.76,<1H OCEAN,958,359,50323,222400
360,Sonoma,38.44,-122.76,<1H OCEAN,3442,1280,42764,175100
361,Sonoma,38.45,-122.76,<1H OCEAN,2864,1041,36292,183600
362,Sonoma,38.46,-122.76,<1H OCEAN,4401,1500,43606,206150
363,Sonoma,38.52,-122.76,<1H OCEAN,826,375,30550,224100
364,Shasta,40.4,-122.76,INLAND,903,314,21250,123200
365,Sonoma,38.41,-122.75,<1H OCEAN,1857,610,39688,165000
366,Sonoma,38.43,-122.75,<1H OCEAN,1086,314,26667,149100
367,Sonoma,38.46,-122.75,<1H OCEAN,4259,1314,28266,144850
368,Sonoma,38.48,-122.75,<1H OCEAN,2958,1131,45417,197400
369,Sonoma,38.5,-122.75,<1H OCEAN,1713,615,54490,252100
370,Sonoma,38.54,-122.75,<1H OCEAN,2699,997,54886,254200
371,Lake,39.01,-122.75,INLAND,889,414,34187,200500
372,Sonoma,38.42,-122.74,<1H OCEAN,1073,416,23750,141000
373,Sonoma,38.43,-122.74,<1H OCEAN,2430,962,30341,142300
374,Sonoma,38.44,-122.74,<1H OCEAN,2884,1039,31210,156100
375,Sonoma,38.45,-122.74,<1H OCEAN,3000,1104,40063,175050
376,Sonoma,38.46,-122.74,<1H OCEAN,1311,585,26607,91500
377,Sonoma,38.47,-122.74,<1H OCEAN,525,260,30714,161700
378,Sonoma,38.48,-122.74,<1H OCEAN,1882,647,45510,178300
379,Lake,38.83,-122.74,<1H OCEAN,1554,528,33531,90800
380,Glenn,39.71,-122.74,INLAND,85,38,16607,14999
381,Sonoma,38.26,-122.73,<1H OCEAN,1668,620,43850,317700
382,Sonoma,38.34,-122.73,<1H OCEAN,434,162,25819,209600
383,Sonoma,38.37,-122.73,<1H OCEAN,841,288,31094,183300
384,Sonoma,38.4,-122.73,<1H OCEAN,2250,697,29750,157300
385,Sonoma,38.42,-122.73,<1H OCEAN,884,295,43523,150000
386,Sonoma,38.43,-122.73,<1H OCEAN,3509,1293,29498,155400
387,Sonoma,38.44,-122.73,<1H OCEAN,3022,1012,28858,143833
388,Sonoma,38.46,-122.73,<1H OCEAN,3349,1835,18936,142700
389,Sonoma,38.47,-122.73,<1H OCEAN,994,390,37266,156500
390,Lake,39.04,-122.73,INLAND,425,244,19833,111500
391,Siskiyou,41.76,-122.73,INLAND,950,367,25357,94200
392,Sonoma,38.31,-122.72,<1H OCEAN,801,291,43906,248000
