,longitude,latitude,population,households,median_income,median_house_value,ocean_proximity,County
56,-124.14,40.8,872,306,2.5,72600,NEAR OCEAN,Humboldt County
57,-124.14,41.06,421,198,3.0208,143400,NEAR OCEAN,Humboldt County
58,-124.14,41.95,1208,494,2.275,122400,NEAR OCEAN,Del Norte County
59,-124.13,40.55,240,91,3.25,94800,<1H OCEAN,Humboldt County
60,-124.13,40.62,910,389,2.5804,92100,NEAR OCEAN,Humboldt County
61,-124.13,40.78,1056,382,2.1101,86900,NEAR OCEAN,Humboldt County
62,-124.13,40.79,1985,773,3.2333,87900,NEAR OCEAN,Humboldt County
63,-124.13,40.8,1259,420,2.2478,81100,NEAR OCEAN,Humboldt County
64,-124.11,40.57,573,236,2.4896,74100,<1H OCEAN,Humboldt County
65,-124.11,40.81,425,175,2.5536,96100,NEAR OCEAN,Humboldt County
66,-124.11,40.93,2246,818,3.13575,81900,NEAR OCEAN,Humboldt County
67,-124.11,40.95,866,342,2.96,81700,NEAR OCEAN,Humboldt County
68,-124.1,40.47,965,265,3.5345,55000,<1H OCEAN,Humboldt County
69,-124.1,40.5,2296,878,1.99655,64900,<1H OCEAN,Humboldt County
70,-124.1,40.73,334,121,3.9659,111800,NEAR OCEAN,Humboldt County
71,-124.1,40.88,1581,585,2.0657,81100,NEAR OCEAN,Humboldt County
72,-124.1,40.9,1948,775,2.7321,92600,NEAR OCEAN,Humboldt County
73,-124.1,40.95,823,316,1.8993,78400,NEAR OCEAN,Humboldt County
74,-124.1,41.04,890,370,1.9741,97900,NEAR OCEAN,Humboldt County
75,-124.09,40.44,1041,401,2.3947,70500,<1H OCEAN,Humboldt County
76,-124.09,40.55,1370,480,2.7644,97300,<1H OCEAN,Humboldt County
77,-124.09,40.86,794,379,1.1742,75000,NEAR OCEAN,Humboldt County
78,-124.09,40.87,398,211,1.1576,87500,NEAR OCEAN,Humboldt County
79,-124.09,40.88,2825,1180,2.061166667,87333.33333,NEAR OCEAN,Humboldt County
80,-124.09,40.92,1153,462,2.8182,126900,NEAR OCEAN,Humboldt County
81,-124.09,40.95,1248,472,2.5893,99600,NEAR OCEAN,Humboldt County
82,-124.08,40.06,393,163,2.625,135600,NEAR OCEAN,Humboldt County
83,-124.08,40.86,805,502,1.1157,150000,NEAR OCEAN,Humboldt County
84,-124.08,40.87,990,425,1.1479,101100,NEAR OCEAN,Humboldt County
85,-124.08,40.91,1381,628,1.6667,78800,NEAR OCEAN,Humboldt County
86,-124.08,40.94,941,335,2.3147,70100,NEAR OCEAN,Humboldt County
87,-124.08,40.99,1554,578,2.6847,111300,NEAR OCEAN,Humboldt County
88,-124.08,41.36,509,196,2.0156,62800,NEAR OCEAN,Humboldt County
89,-124.07,40.81,1019,387,2.9911,119700,NEAR OCEAN,Humboldt County
90,-124.07,40.87,1576,463,1.4911,126150,NEAR OCEAN,Humboldt County
91,-124.06,40.86,1891,669,3.2216,98100,NEAR OCEAN,Humboldt County
92,-124.06,40.88,1603,438,2.5667,139500,NEAR OCEAN,Humboldt County
93,-124.06,41.13,1384,578,2.4708,119400,NEAR OCEAN,Humboldt County
94,-124.05,40.59,937,353,3.4408,95200,<1H OCEAN,Humboldt County
95,-124.05,40.85,1005,401,3.5156,143000,NEAR OCEAN,Humboldt County
96,-124.05,40.94,516,181,5.0329,165600,NEAR OCEAN,Humboldt County
97,-124.03,40.45,443,158,2.6094,71300,<1H OCEAN,Humboldt County
98,-124.02,40.72,1658,598,3.8095,119900,<1H OCEAN,Humboldt County
99,-124.02,40.8,1198,442,3.9792,133900,<1H OCEAN,Humboldt County
100,-124.01,40.89,811,314,2.4559,75600,<1H OCEAN,Humboldt County
101,-124.01,40.97,943,301,3.538,102700,<1H OCEAN,Humboldt County
102,-124,40.22,816,326,1.319,70700,<1H OCEAN,NULL
103,-124,40.92,672,266,2.9485,98800,<1H OCEAN,Humboldt County
104,-123.98,40.88,844,336,2.6923,84200,<1H OCEAN,Humboldt County
105,-123.96,40.57,883,310,2.3167,92600,<1H OCEAN,Humboldt County
106,-123.92,41.54,1382,499,2.0202,71100,NEAR OCEAN,Del Norte County
107,-123.91,41.68,743,314,2.9688,152700,<1H OCEAN,Del Norte County
108,-123.88,40.93,519,220,3.2891,106300,<1H OCEAN,Humboldt County
109,-123.85,39.39,2095,857,3.184,140500,<1H OCEAN,Mendocino County
110,-123.85,39.42,895,451,1.7574,150000,<1H OCEAN,Mendocino County
111,-123.85,41.32,425,157,1.0486,36700,<1H OCEAN,Humboldt County
112,-123.84,39.46,552,201,2.5192,110400,<1H OCEAN,Mendocino County
113,-123.84,39.83,515,227,1.5278,145800,NEAR OCEAN,Mendocino County
114,-123.84,40.28,1093,438,2.0962,74000,<1H OCEAN,Humboldt County
115,-123.83,41.88,660,258,3.13,116700,<1H OCEAN,Del Norte County
116,-123.82,40.12,1221,486,2.087,82400,<1H OCEAN,Humboldt County
117,-123.82,40.16,1184,453,1.2227,76800,<1H OCEAN,Humboldt County
118,-123.81,39.31,887,432,3.3654,225000,NEAR OCEAN,Mendocino County
119,-123.81,39.34,773,325,3.1563,277000,<1H OCEAN,Mendocino County
120,-123.8,39.44,1773,762,1.92105,94300,<1H OCEAN,Mendocino County
121,-123.8,39.46,698,299,2.9243,131600,<1H OCEAN,Mendocino County
122,-123.8,39.47,1202,460,2.7857,150300,<1H OCEAN,Mendocino County
123,-123.79,39.44,3139,1179,3.166133333,111766.6667,<1H OCEAN,Mendocino County
124,-123.79,39.5,588,274,2.325,157300,<1H OCEAN,Mendocino County
125,-123.78,40.05,899,347,2.1864,101900,<1H OCEAN,Humboldt County
126,-123.76,41.03,1058,414,2.0644,79800,<1H OCEAN,Humboldt County
127,-123.75,39.37,830,279,3.25,151400,<1H OCEAN,Mendocino County
128,-123.75,40.11,900,402,1.9625,101500,<1H OCEAN,Humboldt County
129,-123.74,40.66,983,375,3.0469,136000,<1H OCEAN,Humboldt County
130,-123.73,39.17,1745,794,2.375,158800,NEAR OCEAN,Mendocino County
131,-123.73,39.44,380,142,2.7,165000,<1H OCEAN,Mendocino County
132,-123.73,40.48,746,251,1.7153,77100,INLAND,Humboldt County
133,-123.72,41.09,1166,363,1.8208,50000,<1H OCEAN,Humboldt County
134,-123.71,39.88,656,303,1.4952,69800,NEAR OCEAN,Mendocino County
135,-123.7,39.32,711,292,3.1071,213200,<1H OCEAN,Mendocino County
136,-123.69,38.9,1140,428,2.1985,95300,NEAR OCEAN,Mendocino County
137,-123.68,40.24,917,359,1.725,54300,<1H OCEAN,Humboldt County
138,-123.66,41.3,686,264,1.8065,62700,<1H OCEAN,Humboldt County
139,-123.64,39.45,1908,642,3.0433,140700,<1H OCEAN,Mendocino County
140,-123.63,41.11,1033,327,1.4911,59200,<1H OCEAN,Humboldt County
141,-123.59,38.8,1742,803,3.1201,176100,NEAR OCEAN,Mendocino County
142,-123.58,39.66,887,332,2.2429,100000,<1H OCEAN,Mendocino County
143,-123.54,39.17,1032,369,2.2946,101000,<1H OCEAN,Mendocino County
144,-123.53,38.93,506,211,2.5625,165600,NEAR OCEAN,Mendocino County
145,-123.53,40.88,918,345,2.2115,75000,INLAND,Trinity County
146,-123.52,41.01,517,222,2.1542,83800,INLAND,Humboldt County
147,-123.5,39.67,1122,446,2.1793,71500,INLAND,Mendocino County
148,-123.49,38.7,594,327,3.3125,295400,NEAR OCEAN,Sonoma County
149,-123.48,40.34,216,80,2.7083,64500,INLAND,Trinity County
150,-123.48,40.79,287,104,1.9107,79200,INLAND,Trinity County
151,-123.47,39.8,863,346,2.3571,79200,INLAND,Mendocino County
152,-123.43,40.22,87,37,3.625,67500,INLAND,Trinity County
153,-123.41,40.07,141,53,0.8362,87500,INLAND,Trinity County
154,-123.41,40.61,301,126,1.7875,55000,INLAND,Trinity County
155,-123.41,41.6,669,273,1.965,65400,INLAND,Siskiyou County
156,-123.4,39.46,2111,758,3.2156,104400,<1H OCEAN,Mendocino County
157,-123.39,38.99,812,258,3.4063,109400,<1H OCEAN,Mendocino County
158,-123.38,39.37,1899,730,2.6424,124600,<1H OCEAN,Mendocino County
159,-123.38,41.8,1000,390,2.2976,54400,INLAND,Siskiyou County
160,-123.37,39.43,1281,479,3.588,96000,<1H OCEAN,Mendocino County
161,-123.36,39.01,857,288,2.7232,115400,<1H OCEAN,Mendocino County
162,-123.36,39.25,522,202,2.5875,144500,<1H OCEAN,Mendocino County
163,-123.36,39.4,715,275,1.5625,71500,<1H OCEAN,Mendocino County
164,-123.36,39.41,808,330,2.9183,76900,<1H OCEAN,Mendocino County
165,-123.35,39.4,779,327,1.85,71800,<1H OCEAN,Mendocino County
166,-123.35,39.42,904,295,2.1625,77200,<1H OCEAN,Mendocino County
167,-123.35,40.99,47,23,1.125,66000,INLAND,Trinity County
168,-123.34,39.1,3002,992,3.0652,131100,<1H OCEAN,Mendocino County
169,-123.34,39.39,1636,615,2.3333,84000,<1H OCEAN,Mendocino County
170,-123.34,39.5,1064,433,1.8967,96600,INLAND,Mendocino County
171,-123.32,39.42,1133,402,2.3906,92600,<1H OCEAN,Mendocino County
172,-123.32,40.43,131,57,0.4999,56700,INLAND,Trinity County
173,-123.28,40.77,301,121,1.625,79200,INLAND,Trinity County
174,-123.26,41.86,1117,424,2.7222,64600,INLAND,Siskiyou County
175,-123.25,38.54,1278,518,3.3536,157500,NEAR OCEAN,Sonoma County
176,-123.24,38.7,569,176,2.7171,131300,NEAR OCEAN,Sonoma County
177,-123.24,39.81,746,259,1.7788,57900,INLAND,Mendocino County
178,-123.23,39.13,529,217,3.8958,144000,<1H OCEAN,Mendocino County
179,-123.23,39.33,448,140,3.9632,147100,<1H OCEAN,Mendocino County
180,-123.23,39.77,991,377,1.2281,60300,INLAND,Mendocino County
181,-123.22,39.15,1143,473,3.48025,118650,<1H OCEAN,Mendocino County
182,-123.22,39.16,4094,1397,3.14485,132100,<1H OCEAN,Mendocino County
183,-123.22,39.28,3148,1088,3.1455,142900,<1H OCEAN,Mendocino County
184,-123.22,40.16,396,150,2.8472,41300,INLAND,Trinity County
185,-123.22,40.54,847,330,1.9034,49600,INLAND,Trinity County
186,-123.21,39.07,877,312,3.7833,159800,<1H OCEAN,Mendocino County
187,-123.21,39.13,822,234,4.0469,127400,<1H OCEAN,Mendocino County
188,-123.21,39.14,2037,794,2.4516,107300,<1H OCEAN,Mendocino County
189,-123.21,39.15,1984,854,2.10355,110900,<1H OCEAN,Mendocino County
190,-123.21,39.18,1501,584,2.6275,142100,<1H OCEAN,Mendocino County
191,-123.21,39.2,1560,647,2.2926,149300,<1H OCEAN,Mendocino County
192,-123.21,40.51,152,61,1.375,48800,INLAND,Trinity County
193,-123.2,39.13,1065,401,1.375,84400,<1H OCEAN,Mendocino County
194,-123.2,39.14,878,399,1.8042,109200,<1H OCEAN,Mendocino County
195,-123.2,39.15,592,225,2.0074,96200,<1H OCEAN,Mendocino County
196,-123.2,39.16,1195,467,1.7929,82300,<1H OCEAN,Mendocino County
197,-123.2,39.23,494,161,2.3583,105400,<1H OCEAN,Mendocino County
198,-123.19,39.12,196,60,2.3125,70000,<1H OCEAN,Mendocino County
199,-123.19,39.15,1232,488,2.6012,125600,<1H OCEAN,Mendocino County
200,-123.19,39.21,821,285,3.5917,118800,<1H OCEAN,Mendocino County
201,-123.18,39.23,115,54,2.125,175000,<1H OCEAN,Mendocino County
202,-123.18,39.26,1558,535,3.788,134200,<1H OCEAN,Mendocino County
203,-123.18,40.58,695,254,1.7262,73700,INLAND,Trinity County
204,-123.17,39.15,816,325,4.425,161900,<1H OCEAN,Mendocino County
205,-123.17,39.18,1030,308,5.9585,214900,<1H OCEAN,Mendocino County
206,-123.17,40.31,18,8,0.536,14999,INLAND,Trinity County
207,-123.16,39.1,327,81,2.775,120800,<1H OCEAN,Mendocino County
208,-123.16,39.13,1048,303,1.7813,94700,<1H OCEAN,Mendocino County
209,-123.15,38.94,1048,358,2.7171,95800,<1H OCEAN,Mendocino County
210,-123.15,39.31,424,152,2.8833,154200,INLAND,Mendocino County
211,-123.15,39.74,281,108,2.9306,70000,INLAND,Mendocino County
212,-123.13,40.85,675,282,1.8933,84700,INLAND,Trinity County
213,-123.12,40.54,539,201,1.8696,61500,INLAND,Trinity County
214,-123.11,39.32,1421,430,3.3431,137500,INLAND,Mendocino County
215,-123.11,40.6,316,136,1.1602,65000,INLAND,Trinity County
216,-123.1,38.79,1643,638,2.8344,164400,<1H OCEAN,Sonoma County
217,-123.1,38.97,697,251,2.5761,94900,<1H OCEAN,Mendocino County
218,-123.1,39.15,454,188,3.8333,116100,<1H OCEAN,NULL
219,-123.1,39.36,611,226,1.746,105000,INLAND,Mendocino County
220,-123.08,38.38,923,373,3.9167,232600,NEAR OCEAN,Sonoma County
221,-123.08,40.4,140,49,1.7969,37500,INLAND,Trinity County
222,-123.08,41.26,1066,424,1.6757,63300,INLAND,Siskiyou County
223,-123.07,38.46,280,139,2.3611,112500,NEAR OCEAN,Sonoma County
224,-123.07,39.12,353,145,3.8333,92600,<1H OCEAN,Lake County
225,-123.04,38.49,1387,582,2.6161,132500,NEAR OCEAN,Sonoma County
226,-123.03,38.79,1998,673,3.375,171900,<1H OCEAN,Sonoma County
227,-123.02,38.36,778,284,3.8589,268800,NEAR OCEAN,Sonoma County
228,-123.02,38.46,524,259,2.0556,120000,NEAR OCEAN,Sonoma County
229,-123.02,38.54,768,322,3.2315,136900,<1H OCEAN,Sonoma County
230,-123.02,38.81,1404,582,3.13375,139700,<1H OCEAN,Sonoma County
231,-123.01,38.48,354,176,1.3712,118300,NEAR OCEAN,Sonoma County
232,-123.01,38.67,394,132,4.6875,246200,<1H OCEAN,Sonoma County
233,-123.01,38.79,1417,535,3.2546,134100,<1H OCEAN,Sonoma County
234,-123.01,38.8,131,74,3.5156,133300,<1H OCEAN,Sonoma County
235,-123,38.33,851,418,5.6445,364800,NEAR OCEAN,Sonoma County
236,-123,38.51,759,311,2.6726,153100,NEAR OCEAN,Sonoma County
237,-122.99,39.02,851,273,3.45,164100,<1H OCEAN,Lake County
238,-122.98,38.44,1328,590,3.1,162100,<1H OCEAN,Sonoma County
239,-122.97,38.5,1112,470,1.9265,132700,<1H OCEAN,Sonoma County
240,-122.97,38.53,1257,571,2.1165,98700,<1H OCEAN,Sonoma County
241,-122.96,38.26,308,132,3.1429,240900,NEAR OCEAN,Marin County
242,-122.96,38.42,940,361,2.9375,122900,<1H OCEAN,Sonoma County
243,-122.96,40.77,753,270,3.2891,93100,INLAND,Trinity County
244,-122.95,38.73,863,287,2.9792,151300,<1H OCEAN,Sonoma County
245,-122.95,39.13,225,72,3.25,137500,INLAND,Lake County
246,-122.95,40.67,574,242,2.0268,94200,INLAND,Trinity County
247,-122.95,40.71,987,364,2.4792,88800,INLAND,Trinity County
248,-122.94,38.49,777,344,2.7072,117100,<1H OCEAN,Sonoma County
249,-122.94,38.5,807,366,2.6316,117000,<1H OCEAN,Sonoma County
250,-122.94,38.53,505,184,3.7143,148800,<1H OCEAN,Sonoma County
251,-122.94,38.57,728,250,5.1005,266700,<1H OCEAN,Sonoma County
252,-122.94,38.64,2072,636,4.0781,287800,<1H OCEAN,Sonoma County
253,-122.94,39.1,272,105,2.8906,140600,INLAND,Lake County
254,-122.93,38.02,628,219,3.5469,200000,NEAR OCEAN,Marin County
255,-122.93,38.38,1128,414,3.9336,262500,<1H OCEAN,Sonoma County
256,-122.93,40.78,1685,757,2.3667,91200,INLAND,Trinity County
257,-122.93,41.48,1800,660,2.723,79600,INLAND,Siskiyou County
258,-122.92,38.97,904,333,2.9934,134200,<1H OCEAN,Lake County
259,-122.92,39.05,2196,818,3.05545,99850,INLAND,Lake County
260,-122.92,39.08,146,57,4,166300,INLAND,Lake County
261,-122.92,41.7,1634,619,2.3571,62000,INLAND,Siskiyou County
262,-122.91,38.43,852,308,4.6705,269800,<1H OCEAN,Sonoma County
263,-122.91,38.46,912,329,4.5,251900,<1H OCEAN,Sonoma County
264,-122.91,38.49,1137,474,3.6343,146500,<1H OCEAN,Sonoma County
265,-122.91,39.03,723,427,1.3532,95800,INLAND,Lake County
266,-122.91,39.05,916,318,3.49415,94250,INLAND,Lake County
267,-122.91,39.06,601,261,1.939,100300,INLAND,Lake County
268,-122.91,39.07,1000,381,2.4423,102300,INLAND,Lake County
269,-122.91,39.17,142,39,4.35,68300,INLAND,Lake County
270,-122.91,39.18,86,27,2.0208,72500,INLAND,Lake County
271,-122.9,38.28,627,185,2.3482,163500,NEAR OCEAN,Marin County
272,-122.9,39.09,835,380,1.9141,143200,INLAND,Lake County
273,-122.9,39.17,649,232,2.575,73600,INLAND,Lake County
274,-122.9,39.23,534,179,3.9519,98900,INLAND,Lake County
275,-122.9,41.46,600,241,1.7292,61700,INLAND,Siskiyou County
276,-122.89,38.38,931,336,5.7664,267500,<1H OCEAN,Sonoma County
277,-122.89,38.4,1445,515,4.511,296800,<1H OCEAN,Sonoma County
278,-122.89,38.42,1015,381,5.1512,268300,<1H OCEAN,Sonoma County
279,-122.89,38.93,504,223,2.7188,105700,<1H OCEAN,Lake County
280,-122.89,39.11,585,254,2.2551,71100,INLAND,Lake County
281,-122.89,39.42,26,19,0.4999,73500,INLAND,Lake County
282,-122.89,40.76,270,90,2.3958,102100,INLAND,Trinity County
283,-122.88,38.34,1641,585,5.0574,276200,<1H OCEAN,Sonoma County
284,-122.88,38.46,737,305,2.5687,249200,<1H OCEAN,Sonoma County
285,-122.88,39.14,521,196,2.2188,106300,INLAND,Lake County
286,-122.87,38.39,541,180,4.5147,271400,<1H OCEAN,Sonoma County
287,-122.87,38.43,1065,347,4.0446,172200,<1H OCEAN,Sonoma County
288,-122.87,38.48,1832,715,3.5085,187800,<1H OCEAN,Sonoma County
289,-122.87,38.61,1456,500,3.7361,173700,<1H OCEAN,Sonoma County
290,-122.87,38.62,2434,893,2.6889,168050,<1H OCEAN,Sonoma County
291,-122.87,38.68,2053,629,3.7352,228000,<1H OCEAN,Sonoma County
292,-122.87,39.13,810,321,1.6369,86500,INLAND,Lake County
293,-122.86,38.1,691,343,4.3125,261500,NEAR OCEAN,Marin County
294,-122.86,38.42,584,225,3.6667,244400,<1H OCEAN,Sonoma County
295,-122.86,38.44,716,288,3.4471,209500,<1H OCEAN,Sonoma County
296,-122.86,38.61,982,380,3.4013,183300,<1H OCEAN,Sonoma County
297,-122.86,38.62,1231,499,2.7432,174000,<1H OCEAN,Sonoma County
298,-122.86,39.05,647,253,2.5326,136800,INLAND,Lake County
299,-122.86,39.08,1015,448,2.0417,78800,INLAND,Lake County
300,-122.86,40.56,423,172,1.7393,81300,INLAND,Trinity County
301,-122.85,38.37,810,297,4.4437,305000,<1H OCEAN,Sonoma County
302,-122.85,38.46,1309,512,4.7105,266200,<1H OCEAN,Sonoma County
303,-122.85,38.52,2568,762,3.6583,183200,<1H OCEAN,Sonoma County
304,-122.85,38.62,1908,697,4.5913,244600,<1H OCEAN,Sonoma County
305,-122.85,38.77,1027,405,4.6953,241700,<1H OCEAN,Sonoma County
306,-122.85,39,753,252,1.8704,88500,INLAND,Lake County
307,-122.84,38.07,701,297,3.8269,270700,NEAR OCEAN,Marin County
308,-122.84,38.39,793,280,4.4357,216900,<1H OCEAN,Sonoma County
309,-122.84,38.4,1446,599,3.6696,194400,<1H OCEAN,Sonoma County
310,-122.84,38.41,1065,404,4.125,204600,<1H OCEAN,Sonoma County
311,-122.84,38.42,1381,531,2.9625,237300,<1H OCEAN,Sonoma County
312,-122.84,38.98,556,178,1.7196,75000,INLAND,Lake County
313,-122.83,38.39,868,388,2.462,260300,<1H OCEAN,Sonoma County
314,-122.83,38.4,1019,428,3.1217,178500,<1H OCEAN,Sonoma County
315,-122.83,38.58,2036,890,3.2452,168800,<1H OCEAN,Sonoma County
316,-122.83,38.89,268,90,3.4514,100000,<1H OCEAN,NULL
317,-122.83,38.96,567,276,1.8692,93800,INLAND,Lake County
318,-122.83,38.98,719,296,1.6164,77800,INLAND,Lake County
319,-122.83,38.99,191,54,1.6833,113900,INLAND,Lake County
320,-122.83,39.09,679,371,1.4679,94700,INLAND,Lake County
321,-122.82,38.33,1602,550,3.9917,244100,<1H OCEAN,Sonoma County
322,-122.82,38.38,1227,467,4.5132,259900,<1H OCEAN,Sonoma County
323,-122.82,38.39,1345,465,4.1836,237300,<1H OCEAN,Sonoma County
324,-122.82,38.4,1054,426,3.8846,215900,<1H OCEAN,Sonoma County
325,-122.82,38.41,489,168,2.785,169300,<1H OCEAN,Sonoma County
326,-122.82,38.44,555,243,4.6792,304700,<1H OCEAN,Sonoma County
327,-122.82,38.53,907,317,3.276,172900,<1H OCEAN,Sonoma County
328,-122.82,38.55,2967,1000,3.8616,195100,<1H OCEAN,Sonoma County
329,-122.82,38.61,987,364,4.0294,201700,<1H OCEAN,Sonoma County
330,-122.82,38.64,1117,374,3.8681,188600,<1H OCEAN,Sonoma County
331,-122.81,38.08,815,337,3.4609,238800,NEAR OCEAN,Marin County
332,-122.81,38.36,1131,391,5.2769,293900,<1H OCEAN,Sonoma County
333,-122.81,38.46,1634,567,4.745,248600,<1H OCEAN,Sonoma County
334,-122.81,38.54,919,540,1.1553,139300,<1H OCEAN,Sonoma County
335,-122.81,40.93,588,195,2.7083,88900,INLAND,Trinity County
336,-122.8,38.18,957,362,3.625,253100,NEAR OCEAN,Marin County
337,-122.8,38.37,909,317,4.1731,257200,<1H OCEAN,Sonoma County
338,-122.8,38.39,1124,420,2.9453,166700,<1H OCEAN,Sonoma County
339,-122.8,39.08,798,342,1.4676,65000,INLAND,Lake County
340,-122.79,38.42,2581,915,5.038,185600,<1H OCEAN,Sonoma County
341,-122.79,38.48,3468,1405,3.1662,191000,<1H OCEAN,Sonoma County
342,-122.79,38.5,2755,841,3.75,248300,<1H OCEAN,Sonoma County
343,-122.79,38.54,1887,687,3.7768,213800,<1H OCEAN,Sonoma County
344,-122.79,39.02,265,84,1.8833,96900,INLAND,Lake County
345,-122.79,39.08,321,128,1.5208,89000,INLAND,Lake County
346,-122.79,39.09,685,331,1.625,66800,INLAND,Lake County
347,-122.79,40.75,1352,560,2.125,71700,INLAND,Trinity County
348,-122.78,38.37,414,162,3.7991,175000,<1H OCEAN,Sonoma County
349,-122.78,38.41,1011,297,2.5917,144000,<1H OCEAN,Sonoma County
350,-122.78,38.44,1569,629,3.9766,345300,<1H OCEAN,Sonoma County
351,-122.78,38.52,1052,527,2.4922,192000,<1H OCEAN,Sonoma County
352,-122.78,38.53,1889,632,4.2716,250800,<1H OCEAN,Sonoma County
353,-122.78,38.97,2144,792,3.0466,97300,INLAND,Lake County
354,-122.78,39.05,661,269,2.6181,108900,INLAND,Lake County
355,-122.77,38.29,1869,519,3.2442,268000,<1H OCEAN,Sonoma County
356,-122.77,38.33,843,306,4.5875,290700,<1H OCEAN,Sonoma County
357,-122.77,38.39,1293,463,2.75,197500,<1H OCEAN,Sonoma County
358,-122.77,38.92,293,100,4.0119,119400,INLAND,Lake County
359,-122.76,38.35,958,359,5.0323,222400,<1H OCEAN,Sonoma County
360,-122.76,38.44,3442,1280,4.27635,175100,<1H OCEAN,Sonoma County
361,-122.76,38.45,2864,1041,3.6292,183600,<1H OCEAN,Sonoma County
